,name,brand,categories,date,dateSeen,doRecommend,numHelpful,rating,text,title,username,joy,neutral,surprise,disgust,sadness,anger,fear,pos,neg,vaders_neg,vaders_neu,vaders_pos,vaders_compound,roberta_neg,roberta_neu,roberta_pos
0,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,5.0,"Although this won't be competing with the iPad or some higher end android tablets, this easily outperforms any other tablet in this price range. I also love the fact that, although this is made of plastic, it has a unibody design and great build quality; not flimsy like many other tablets at this price.",Excellent Value for the Money,ndanielsporter,0.7271474003791809,0.2185723185539245,0.0281217042356729,0.0108810923993587,0.0091988136991858,0.004134845919907,0.0019438593881204,0.994038462638855,0.0059616002254188,0.034,0.785,0.181,0.8732,0.0035394250880926847,0.02032276801764965,0.9761378169059753
1,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,5.0,"It meet my expectations. It performs well compared to other tables. I am very satisfied with the product and it quality. Lastly, it worth the price I paid for.",Great tablet,Mymixx495,0.8797567486763,0.0854280665516853,0.0108104702085256,0.0077631962485611,0.0040961443446576,0.0114977182820439,0.0006477425922639,0.9946187734603882,0.0053812419064342,0.0,0.772,0.228,0.7264,0.0021602213382720947,0.014683090150356293,0.9831566214561462
2,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,4.0,"Very satisfied with this purchase. Fast, big screen and good resolution. Bought it for my son around Xmas and I got a very good deal too! Wish I had bought 2 at that price. ($100)",Good Tablet,Geronimo,0.6838070154190063,0.07676412910223,0.2180054783821106,0.001224618172273,0.0151068642735481,0.0043831849470734,0.0007086539408192,0.9940192699432372,0.0059806979261338,0.0,0.694,0.306,0.8976,0.0017634755931794643,0.014637617394328117,0.9835989475250244
3,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,5.0,I love everything about the kindle fire but i would like a bigger screen,Best tablet ever,Peaches,0.9687618613243104,0.0041030207648873,0.0071188551373779,0.0006460281438194,0.0151485288515686,0.0033762231469154,0.0008455002098344,0.9902233481407166,0.0097766071557998,0.109,0.514,0.376,0.631,0.005703811068087816,0.016604330390691757,0.9776918888092041
4,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,3.0,Could not download apps I needed to control my tvs,Great for beginner,Rodriguez,0.2570070326328277,0.5692884922027588,0.0501481220126152,0.0051916968077421,0.0845253989100456,0.0078238090500235,0.026015467941761,0.9216755628585817,0.0783244147896766,0.0,1.0,0.0,0.0,0.25024914741516113,0.2809189558029175,0.4688319265842438
5,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,4.0,Great picture compared to my last kindle and love the camera option,Love the new features!,Gramma,0.9660382866859436,0.007508729584515,0.0186958666890859,0.0005578380078077,0.005424256902188,0.0014119406696408,0.0003630598075687,0.9909176230430604,0.009082349948585,0.0,0.546,0.454,0.8519,0.0017229639925062656,0.006401337217539549,0.9918756484985352
6,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,5.0,This newest version of Fire works great! Responds fast to opening apps and speed of browser is quick. The color choices are nice too!,Superfast,CollegeMom,0.2675174474716186,0.522239089012146,0.1822492480278015,0.0039434358477592,0.004465808160603,0.0176394209265708,0.0019455268047749,0.9929872155189514,0.0070127476938068,0.078,0.68,0.242,0.7256,0.001175926998257637,0.008136965334415436,0.9906870722770691
7,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,False,0.0,2.0,"Full disclosure, I've only had iPads in the past. I needed an android based tablet as a 3rd party app that I needed was yet IOS supported. You get what you pay for. Build quality, touch and feel, yes it's equal to the price. Constant adds urging you to make various Amazon based purchases...not my cup of tea but I guess fills a price point and need.",You get what you pay for...,U1dery,0.0132031301036477,0.9411272406578064,0.0248000584542751,0.0048625753261148,0.0061081373132765,0.0084704356268048,0.0014284253120422,0.8215529918670654,0.1784469932317733,0.018,0.878,0.103,0.5423,0.1549420803785324,0.35207998752593994,0.4929778575897217
8,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2016-12-19 00:00:00+00:00,2017-08-09 00:00:00+00:00,True,0.0,4.0,Needed an inexpensive and portable Alexa device and this works perfectly.,Good Alexa device,ZymDrew,0.3066267967224121,0.6314285397529602,0.046705923974514,0.0022771176882088,0.0062827742658555,0.0055455644614994,0.0011332998983561,0.9909438490867616,0.0090562356635928,0.0,0.704,0.296,0.6369,0.002519241301342845,0.03293770179152489,0.9645431041717529
9,Amazon Vocal Echo,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers",2017-07-28 00:00:00+00:00,2017-08-02 00:00:00+00:00,True,0.0,5.0,This tablet is for our 9 year old grandson. It works out great for him to play games on.,Great for 9 year old grandson,SKE1957,0.81254643201828,0.1410247981548309,0.0330511219799518,0.002381931990385,0.0062606018036603,0.0039707403630018,0.0007643597782589,0.9906111359596252,0.0093888510018587,0.0,0.711,0.289,0.7579,0.0012148661771789193,0.013973131775856018,0.9848120212554932
